Time (hrs),LED Luminosity,Unit Number,Temperature (K)
2016,0.8165,Unit 26,338.15
2352,0.8034,Unit 26,338.15
2688,0.7824,Unit 26,338.15
3024,0.7959,Unit 26,338.15
3360,0.7761,Unit 26,338.15
3696,0.7572,Unit 26,338.15
4032,0.7451,Unit 26,338.15
4368,0.7203,Unit 26,338.15
4704,0.7343,Unit 26,338.15
5040,0.7416,Unit 26,338.15
5376,0.7232,Unit 26,338.15
5712,0.7175,Unit 26,338.15
6048,0.7079,Unit 26,338.15
6384,0.6831,Unit 26,338.15
6720,0.6873,Unit 26,338.15
7056,0.6841,Unit 26,338.15
7392,0.6402,Unit 26,338.15
7728,0.632,Unit 26,338.15
8064,0.651,Unit 26,338.15
8400,0.6302,Unit 26,338.15
8736,0.6468,Unit 26,338.15
9072,0.6245,Unit 26,338.15
9408,0.6312,Unit 26,338.15
9744,0.6366,Unit 26,338.15
336,0.9746,Unit 27,338.15
672,0.9047,Unit 27,338.15
1008,0.9069,Unit 27,338.15
1344,0.8565,Unit 27,338.15
1680,0.8756,Unit 27,338.15
2016,0.8705,Unit 27,338.15
2352,0.8514,Unit 27,338.15
2688,0.8491,Unit 27,338.15
3024,0.8538,Unit 27,338.15
3360,0.8469,Unit 27,338.15
3696,0.8209,Unit 27,338.15
4032,0.8035,Unit 27,338.15
4368,0.7894,Unit 27,338.15
4704,0.8028,Unit 27,338.15
5040,0.8189,Unit 27,338.15
5376,0.795,Unit 27,338.15
5712,0.7934,Unit 27,338.15
6048,0.7607,Unit 27,338.15
6384,0.7805,Unit 27,338.15
6720,0.7953,Unit 27,338.15
7056,0.7665,Unit 27,338.15
7392,0.7694,Unit 27,338.15
7728,0.7883,Unit 27,338.15
8064,0.7481,Unit 27,338.15
8400,0.7405,Unit 27,338.15
8736,0.7585,Unit 27,338.15
9072,0.7227,Unit 27,338.15
9408,0.7514,Unit 27,338.15
9744,0.7204,Unit 27,338.15
336,0.9007,Unit 28,338.15
672,0.8384,Unit 28,338.15
1008,0.8052,Unit 28,338.15
1344,0.7848,Unit 28,338.15
1680,0.7602,Unit 28,338.15
2016,0.7467,Unit 28,338.15
2352,0.7382,Unit 28,338.15
2688,0.7196,Unit 28,338.15
3024,0.7376,Unit 28,338.15
3360,0.6713,Unit 28,338.15
3696,0.6543,Unit 28,338.15
4032,0.6683,Unit 28,338.15
4368,0.661,Unit 28,338.15
4704,0.6518,Unit 28,338.15
5040,0.5946,Unit 28,338.15
5376,0.5995,Unit 28,338.15
5712,0.6461,Unit 28,338.15
6048,0.5982,Unit 28,338.15
6384,0.6403,Unit 28,338.15
6720,0.5903,Unit 28,338.15
7056,0.6024,Unit 28,338.15
7392,0.6039,Unit 28,338.15
7728,0.588,Unit 28,338.15
8064,0.5608,Unit 28,338.15
8400,0.565,Unit 28,338.15
8736,0.5609,Unit 28,338.15
9072,0.5438,Unit 28,338.15
9408,0.5628,Unit 28,338.15
9744,0.5491,Unit 28,338.15
336,0.9188,Unit 29,338.15
672,0.9049,Unit 29,338.15
1008,0.8478,Unit 29,338.15
1344,0.8298,Unit 29,338.15
1680,0.7993,Unit 29,338.15
2016,0.8238,Unit 29,338.15
2352,0.7612,Unit 29,338.15
2688,0.7867,Unit 29,338.15
3024,0.7578,Unit 29,338.15
3360,0.741,Unit 29,338.15
3696,0.7223,Unit 29,338.15
4032,0.7104,Unit 29,338.15
4368,0.6849,Unit 29,338.15
4704,0.6829,Unit 29,338.15
5040,0.6805,Unit 29,338.15
5376,0.648,Unit 29,338.15
5712,0.6765,Unit 29,338.15
6048,0.6536,Unit 29,338.15
6384,0.6266,Unit 29,338.15
6720,0.6432,Unit 29,338.15
7056,0.6116,Unit 29,338.15
7392,0.6314,Unit 29,338.15
7728,0.6283,Unit 29,338.15
8064,0.612,Unit 29,338.15
8400,0.6169,Unit 29,338.15
8736,0.6056,Unit 29,338.15
9072,0.6249,Unit 29,338.15
9408,0.5763,Unit 29,338.15
9744,0.5686,Unit 29,338.15
336,0.916,Unit 30,338.15
672,0.8673,Unit 30,338.15
1008,0.842,Unit 30,338.15
1344,0.7947,Unit 30,338.15
1680,0.7484,Unit 30,338.15
2016,0.7784,Unit 30,338.15
2352,0.7621,Unit 30,338.15
2688,0.7083,Unit 30,338.15
3024,0.7095,Unit 30,338.15
3360,0.7079,Unit 30,338.15
3696,0.687,Unit 30,338.15
4032,0.6837,Unit 30,338.15
4368,0.6906,Unit 30,338.15
4704,0.6383,Unit 30,338.15
5040,0.6489,Unit 30,338.15
5376,0.6335,Unit 30,338.15
5712,0.6401,Unit 30,338.15
6048,0.6185,Unit 30,338.15
6384,0.6086,Unit 30,338.15
6720,0.6284,Unit 30,338.15
7056,0.6058,Unit 30,338.15
7392,0.5864,Unit 30,338.15
7728,0.5902,Unit 30,338.15
8064,0.5605,Unit 30,338.15
8400,0.5582,Unit 30,338.15
8736,0.5479,Unit 30,338.15
9072,0.5453,Unit 30,338.15
9408,0.5608,Unit 30,338.15
9744,0.5429,Unit 30,338.15
336,0.9361,Unit 31,338.15
672,0.9166,Unit 31,338.15
1008,0.8854,Unit 31,338.15
1344,0.8668,Unit 31,338.15
1680,0.8797,Unit 31,338.15
2016,0.8586,Unit 31,338.15
2352,0.8136,Unit 31,338.15
2688,0.7988,Unit 31,338.15
3024,0.773,Unit 31,338.15
3360,0.7617,Unit 31,338.15
3696,0.7633,Unit 31,338.15
4032,0.744,Unit 31,338.15
4368,0.7436,Unit 31,338.15
4704,0.7432,Unit 31,338.15
5040,0.692,Unit 31,338.15
5376,0.7011,Unit 31,338.15
5712,0.7079,Unit 31,338.15
6048,0.6798,Unit 31,338.15
6384,0.6884,Unit 31,338.15
6720,0.6991,Unit 31,338.15
7056,0.6514,Unit 31,338.15
7392,0.6647,Unit 31,338.15
7728,0.6346,Unit 31,338.15
8064,0.6322,Unit 31,338.15
8400,0.6472,Unit 31,338.15
8736,0.6326,Unit 31,338.15
9072,0.6207,Unit 31,338.15
9408,0.6364,Unit 31,338.15
9744,0.578,Unit 31,338.15
336,0.9206,Unit 32,338.15
672,0.8548,Unit 32,338.15
1008,0.8073,Unit 32,338.15
1344,0.8268,Unit 32,338.15
1680,0.7538,Unit 32,338.15
2016,0.7376,Unit 32,338.15
2352,0.72,Unit 32,338.15
2688,0.7069,Unit 32,338.15
3024,0.6831,Unit 32,338.15
3360,0.6884,Unit 32,338.15
3696,0.6452,Unit 32,338.15
4032,0.6359,Unit 32,338.15
4368,0.6147,Unit 32,338.15
4704,0.6057,Unit 32,338.15
5040,0.5857,Unit 32,338.15
5376,0.5999,Unit 32,338.15
5712,0.5986,Unit 32,338.15
6048,0.5848,Unit 32,338.15
6384,0.581,Unit 32,338.15
6720,0.5579,Unit 32,338.15
7056,0.5615,Unit 32,338.15
7392,0.5564,Unit 32,338.15
7728,0.5388,Unit 32,338.15
8064,0.533,Unit 32,338.15
8400,0.5321,Unit 32,338.15
8736,0.5286,Unit 32,338.15
9072,0.5109,Unit 32,338.15
9408,0.5181,Unit 32,338.15
9744,0.4956,Unit 32,338.15
336,0.9015,Unit 33,338.15
672,0.8415,Unit 33,338.15
1008,0.8061,Unit 33,338.15
1344,0.7869,Unit 33,338.15
1680,0.7553,Unit 33,338.15
2016,0.728,Unit 33,338.15
2352,0.7525,Unit 33,338.15
2688,0.7047,Unit 33,338.15
3024,0.6601,Unit 33,338.15
3360,0.6715,Unit 33,338.15
3696,0.6274,Unit 33,338.15
4032,0.6307,Unit 33,338.15
4368,0.616,Unit 33,338.15
4704,0.5953,Unit 33,338.15
5040,0.6282,Unit 33,338.15
5376,0.6057,Unit 33,338.15
5712,0.6032,Unit 33,338.15
6048,0.5836,Unit 33,338.15
6384,0.5712,Unit 33,338.15
6720,0.5604,Unit 33,338.15
7056,0.5776,Unit 33,338.15
7392,0.5537,Unit 33,338.15
7728,0.5072,Unit 33,338.15
8064,0.5384,Unit 33,338.15
8400,0.5594,Unit 33,338.15
8736,0.5244,Unit 33,338.15
9072,0.4867,Unit 33,338.15
9408,0.5078,Unit 33,338.15
9744,0.4765,Unit 33,338.15
336,0.9112,Unit 34,338.15
672,0.8941,Unit 34,338.15
1008,0.8807,Unit 34,338.15
1344,0.8132,Unit 34,338.15
1680,0.8032,Unit 34,338.15
2016,0.7617,Unit 34,338.15
2352,0.7555,Unit 34,338.15
2688,0.739,Unit 34,338.15
3024,0.6933,Unit 34,338.15
3360,0.6727,Unit 34,338.15
3696,0.7232,Unit 34,338.15
4032,0.6827,Unit 34,338.15
4368,0.6646,Unit 34,338.15
4704,0.6539,Unit 34,338.15
5040,0.6487,Unit 34,338.15
5376,0.6225,Unit 34,338.15
5712,0.5971,Unit 34,338.15
6048,0.5939,Unit 34,338.15
6384,0.6036,Unit 34,338.15
6720,0.5822,Unit 34,338.15
7056,0.5926,Unit 34,338.15
7392,0.5565,Unit 34,338.15
7728,0.5801,Unit 34,338.15
8064,0.536,Unit 34,338.15
8400,0.5339,Unit 34,338.15
8736,0.553,Unit 34,338.15
9072,0.5297,Unit 34,338.15
9408,0.5169,Unit 34,338.15
9744,0.5325,Unit 34,338.15
336,0.8681,Unit 35,338.15
672,0.833,Unit 35,338.15
1008,0.7971,Unit 35,338.15
1344,0.7653,Unit 35,338.15
1680,0.7253,Unit 35,338.15
2016,0.722,Unit 35,338.15
2352,0.6975,Unit 35,338.15
2688,0.6596,Unit 35,338.15
3024,0.6404,Unit 35,338.15
3360,0.6391,Unit 35,338.15
3696,0.6497,Unit 35,338.15
4032,0.6129,Unit 35,338.15
4368,0.6219,Unit 35,338.15
4704,0.5998,Unit 35,338.15
5040,0.5836,Unit 35,338.15
5376,0.5922,Unit 35,338.15
5712,0.5598,Unit 35,338.15
6048,0.5553,Unit 35,338.15
6384,0.5628,Unit 35,338.15
6720,0.5522,Unit 35,338.15
7056,0.5569,Unit 35,338.15
7392,0.5149,Unit 35,338.15
7728,0.563,Unit 35,338.15
8064,0.5181,Unit 35,338.15
8400,0.5291,Unit 35,338.15
8736,0.5307,Unit 35,338.15
9072,0.4851,Unit 35,338.15
9408,0.4901,Unit 35,338.15
9744,0.5048,Unit 35,338.15
336,0.906,Unit 36,338.15
672,0.873,Unit 36,338.15
1008,0.8442,Unit 36,338.15
1344,0.8164,Unit 36,338.15
1680,0.7788,Unit 36,338.15
2016,0.7566,Unit 36,338.15
2352,0.7341,Unit 36,338.15
2688,0.7424,Unit 36,338.15
3024,0.7206,Unit 36,338.15
3360,0.6816,Unit 36,338.15
3696,0.668,Unit 36,338.15
4032,0.6475,Unit 36,338.15
4368,0.6626,Unit 36,338.15
4704,0.6571,Unit 36,338.15
5040,0.6187,Unit 36,338.15
5376,0.6056,Unit 36,338.15
5712,0.5962,Unit 36,338.15
6048,0.5948,Unit 36,338.15
6384,0.5825,Unit 36,338.15
6720,0.5748,Unit 36,338.15
7056,0.5791,Unit 36,338.15
7392,0.5697,Unit 36,338.15
7728,0.5594,Unit 36,338.15
8064,0.5437,Unit 36,338.15
8400,0.5221,Unit 36,338.15
8736,0.5545,Unit 36,338.15
9072,0.5103,Unit 36,338.15
9408,0.5098,Unit 36,338.15
9744,0.5487,Unit 36,338.15
336,0.9176,Unit 37,338.15
672,0.8979,Unit 37,338.15
1008,0.8885,Unit 37,338.15
1344,0.8314,Unit 37,338.15
1680,0.8411,Unit 37,338.15
2016,0.8232,Unit 37,338.15
2352,0.8285,Unit 37,338.15
2688,0.7765,Unit 37,338.15
3024,0.7849,Unit 37,338.15
3360,0.773,Unit 37,338.15
3696,0.7314,Unit 37,338.15
4032,0.7568,Unit 37,338.15
4368,0.7227,Unit 37,338.15
4704,0.7404,Unit 37,338.15
5040,0.7044,Unit 37,338.15
5376,0.7257,Unit 37,338.15
5712,0.6816,Unit 37,338.15
6048,0.659,Unit 37,338.15
6384,0.689,Unit 37,338.15
6720,0.6933,Unit 37,338.15
7056,0.6551,Unit 37,338.15
7392,0.6678,Unit 37,338.15
7728,0.6545,Unit 37,338.15
8064,0.6451,Unit 37,338.15
8400,0.6493,Unit 37,338.15
8736,0.6496,Unit 37,338.15
9072,0.6219,Unit 37,338.15
9408,0.6388,Unit 37,338.15
9744,0.615,Unit 37,338.15
336,0.9258,Unit 38,338.15
672,0.8431,Unit 38,338.15
1008,0.8224,Unit 38,338.15
1344,0.7848,Unit 38,338.15
1680,0.7827,Unit 38,338.15
2016,0.7528,Unit 38,338.15
2352,0.7314,Unit 38,338.15
2688,0.7105,Unit 38,338.15
3024,0.7184,Unit 38,338.15
3360,0.7103,Unit 38,338.15
3696,0.6643,Unit 38,338.15
4032,0.7001,Unit 38,338.15
4368,0.668,Unit 38,338.15
4704,0.6577,Unit 38,338.15
5040,0.6323,Unit 38,338.15
5376,0.631,Unit 38,338.15
5712,0.6366,Unit 38,338.15
6048,0.6314,Unit 38,338.15
6384,0.5921,Unit 38,338.15
6720,0.5797,Unit 38,338.15
7056,0.5742,Unit 38,338.15
7392,0.6188,Unit 38,338.15
7728,0.599,Unit 38,338.15
8064,0.5704,Unit 38,338.15
8400,0.55,Unit 38,338.15
8736,0.5836,Unit 38,338.15
9072,0.5504,Unit 38,338.15
9408,0.5407,Unit 38,338.15
9744,0.5485,Unit 38,338.15
336,0.9281,Unit 39,338.15
672,0.8747,Unit 39,338.15
1008,0.82,Unit 39,338.15
1344,0.833,Unit 39,338.15
1680,0.803,Unit 39,338.15
2016,0.7785,Unit 39,338.15
2352,0.7393,Unit 39,338.15
2688,0.7594,Unit 39,338.15
3024,0.7479,Unit 39,338.15
3360,0.7053,Unit 39,338.15
3696,0.6837,Unit 39,338.15
4032,0.662,Unit 39,338.15
4368,0.6536,Unit 39,338.15
4704,0.6591,Unit 39,338.15
5040,0.618,Unit 39,338.15
5376,0.6148,Unit 39,338.15
5712,0.6065,Unit 39,338.15
6048,0.615,Unit 39,338.15
6384,0.5778,Unit 39,338.15
6720,0.5749,Unit 39,338.15
7056,0.5506,Unit 39,338.15
7392,0.5814,Unit 39,338.15
7728,0.5499,Unit 39,338.15
8064,0.5508,Unit 39,338.15
8400,0.5244,Unit 39,338.15
8736,0.5398,Unit 39,338.15
9072,0.5417,Unit 39,338.15
9408,0.5265,Unit 39,338.15
9744,0.498,Unit 39,338.15
336,0.9472,Unit 40,338.15
672,0.9134,Unit 40,338.15
1008,0.9101,Unit 40,338.15
1344,0.9281,Unit 40,338.15
1680,0.8616,Unit 40,338.15
2016,0.8798,Unit 40,338.15
2352,0.868,Unit 40,338.15
2688,0.8425,Unit 40,338.15
3024,0.8586,Unit 40,338.15
3360,0.8213,Unit 40,338.15
3696,0.8235,Unit 40,338.15
4032,0.8135,Unit 40,338.15
4368,0.7957,Unit 40,338.15
4704,0.8101,Unit 40,338.15
5040,0.7682,Unit 40,338.15
5376,0.8219,Unit 40,338.15
5712,0.758,Unit 40,338.15
6048,0.7728,Unit 40,338.15
6384,0.7671,Unit 40,338.15
6720,0.7522,Unit 40,338.15
7056,0.7492,Unit 40,338.15
7392,0.6954,Unit 40,338.15
7728,0.7259,Unit 40,338.15
8064,0.724,Unit 40,338.15
8400,0.7231,Unit 40,338.15
8736,0.7063,Unit 40,338.15
9072,0.714,Unit 40,338.15
9408,0.6615,Unit 40,338.15
9744,0.6967,Unit 40,338.15
336,0.9805,Unit 41,338.15
672,0.9495,Unit 41,338.15
1008,0.8727,Unit 41,338.15
1344,0.8615,Unit 41,338.15
1680,0.8106,Unit 41,338.15
2016,0.8191,Unit 41,338.15
2352,0.8308,Unit 41,338.15
2688,0.7938,Unit 41,338.15
3024,0.7408,Unit 41,338.15
3360,0.7513,Unit 41,338.15
3696,0.7119,Unit 41,338.15
4032,0.7077,Unit 41,338.15
4368,0.6807,Unit 41,338.15
4704,0.6985,Unit 41,338.15
5040,0.6929,Unit 41,338.15
5376,0.681,Unit 41,338.15
5712,0.642,Unit 41,338.15
6048,0.6299,Unit 41,338.15
6384,0.5957,Unit 41,338.15
6720,0.5959,Unit 41,338.15
7056,0.5931,Unit 41,338.15
7392,0.5875,Unit 41,338.15
7728,0.5757,Unit 41,338.15
8064,0.5574,Unit 41,338.15
8400,0.5571,Unit 41,338.15
8736,0.5662,Unit 41,338.15
9072,0.5641,Unit 41,338.15
9408,0.556,Unit 41,338.15
9744,0.5488,Unit 41,338.15
336,0.9307,Unit 42,338.15
672,0.9119,Unit 42,338.15
1008,0.8924,Unit 42,338.15
1344,0.8844,Unit 42,338.15
1680,0.8849,Unit 42,338.15
2016,0.8341,Unit 42,338.15
2352,0.818,Unit 42,338.15
2688,0.8227,Unit 42,338.15
3024,0.7901,Unit 42,338.15
3360,0.7922,Unit 42,338.15
3696,0.8062,Unit 42,338.15
4032,0.7608,Unit 42,338.15
4368,0.7361,Unit 42,338.15
4704,0.7408,Unit 42,338.15
5040,0.7449,Unit 42,338.15
5376,0.725,Unit 42,338.15
5712,0.7273,Unit 42,338.15
6048,0.7223,Unit 42,338.15
6384,0.7112,Unit 42,338.15
6720,0.7159,Unit 42,338.15
7056,0.7131,Unit 42,338.15
7392,0.7044,Unit 42,338.15
7728,0.6975,Unit 42,338.15
8064,0.6985,Unit 42,338.15
8400,0.656,Unit 42,338.15
8736,0.6546,Unit 42,338.15
9072,0.6585,Unit 42,338.15
9408,0.6555,Unit 42,338.15
9744,0.6388,Unit 42,338.15
336,0.9736,Unit 43,338.15
672,0.9178,Unit 43,338.15
1008,0.9454,Unit 43,338.15
1344,0.8924,Unit 43,338.15
1680,0.8728,Unit 43,338.15
2016,0.8642,Unit 43,338.15
2352,0.8584,Unit 43,338.15
2688,0.8556,Unit 43,338.15
3024,0.8126,Unit 43,338.15
3360,0.8183,Unit 43,338.15
3696,0.8076,Unit 43,338.15
4032,0.8116,Unit 43,338.15
4368,0.7923,Unit 43,338.15
4704,0.7752,Unit 43,338.15
5040,0.7601,Unit 43,338.15
5376,0.7631,Unit 43,338.15
5712,0.7427,Unit 43,338.15
6048,0.7378,Unit 43,338.15
6384,0.7303,Unit 43,338.15
6720,0.7241,Unit 43,338.15
7056,0.7266,Unit 43,338.15
7392,0.7006,Unit 43,338.15
7728,0.7192,Unit 43,338.15
8064,0.6688,Unit 43,338.15
8400,0.7011,Unit 43,338.15
8736,0.6771,Unit 43,338.15
9072,0.6888,Unit 43,338.15
9408,0.6751,Unit 43,338.15
9744,0.6727,Unit 43,338.15
336,0.9069,Unit 44,338.15
672,0.8994,Unit 44,338.15
1008,0.8854,Unit 44,338.15
1344,0.8407,Unit 44,338.15
1680,0.8707,Unit 44,338.15
2016,0.8501,Unit 44,338.15
2352,0.8293,Unit 44,338.15
2688,0.7937,Unit 44,338.15
3024,0.8077,Unit 44,338.15
3360,0.791,Unit 44,338.15
3696,0.7656,Unit 44,338.15
4032,0.7721,Unit 44,338.15
4368,0.7489,Unit 44,338.15
4704,0.7358,Unit 44,338.15
5040,0.7336,Unit 44,338.15
5376,0.7444,Unit 44,338.15
5712,0.7551,Unit 44,338.15
6048,0.7348,Unit 44,338.15
6384,0.7058,Unit 44,338.15
6720,0.7402,Unit 44,338.15
7056,0.73,Unit 44,338.15
7392,0.6755,Unit 44,338.15
7728,0.7324,Unit 44,338.15
8064,0.6821,Unit 44,338.15
8400,0.6698,Unit 44,338.15
8736,0.6984,Unit 44,338.15
9072,0.702,Unit 44,338.15
9408,0.684,Unit 44,338.15
9744,0.6913,Unit 44,338.15
336,0.9029,Unit 45,338.15
672,0.8356,Unit 45,338.15
1008,0.7955,Unit 45,338.15
1344,0.7202,Unit 45,338.15
1680,0.7383,Unit 45,338.15
2016,0.7216,Unit 45,338.15
2352,0.6717,Unit 45,338.15
2688,0.6784,Unit 45,338.15
3024,0.6716,Unit 45,338.15
3360,0.6375,Unit 45,338.15
3696,0.6106,Unit 45,338.15
4032,0.6211,Unit 45,338.15
4368,0.5874,Unit 45,338.15
4704,0.6204,Unit 45,338.15
5040,0.6251,Unit 45,338.15
5376,0.5834,Unit 45,338.15
5712,0.558,Unit 45,338.15
6048,0.5383,Unit 45,338.15
6384,0.5536,Unit 45,338.15
6720,0.5425,Unit 45,338.15
7056,0.5367,Unit 45,338.15
7392,0.5196,Unit 45,338.15
7728,0.5405,Unit 45,338.15
8064,0.5271,Unit 45,338.15
8400,0.5088,Unit 45,338.15
8736,0.488,Unit 45,338.15
9072,0.5294,Unit 45,338.15
9408,0.4964,Unit 45,338.15
9744,0.4773,Unit 45,338.15
336,0.9696,Unit 46,338.15
672,0.9159,Unit 46,338.15
1008,0.8919,Unit 46,338.15
1344,0.8939,Unit 46,338.15
1680,0.8384,Unit 46,338.15
2016,0.8568,Unit 46,338.15
2352,0.8067,Unit 46,338.15
2688,0.8226,Unit 46,338.15
3024,0.7818,Unit 46,338.15
3360,0.7671,Unit 46,338.15
3696,0.7385,Unit 46,338.15
4032,0.7409,Unit 46,338.15
4368,0.7531,Unit 46,338.15
4704,0.7221,Unit 46,338.15
5040,0.72,Unit 46,338.15
5376,0.6628,Unit 46,338.15
5712,0.6499,Unit 46,338.15
6048,0.66,Unit 46,338.15
6384,0.674,Unit 46,338.15
6720,0.6439,Unit 46,338.15
7056,0.6474,Unit 46,338.15
7392,0.6231,Unit 46,338.15
7728,0.6197,Unit 46,338.15
8064,0.6195,Unit 46,338.15
8400,0.6161,Unit 46,338.15
8736,0.5959,Unit 46,338.15
9072,0.5907,Unit 46,338.15
9408,0.5807,Unit 46,338.15
9744,0.5649,Unit 46,338.15
336,0.9244,Unit 47,338.15
672,0.8951,Unit 47,338.15
1008,0.872,Unit 47,338.15
1344,0.8365,Unit 47,338.15
1680,0.827,Unit 47,338.15
2016,0.7967,Unit 47,338.15
2352,0.7658,Unit 47,338.15
2688,0.7436,Unit 47,338.15
3024,0.7186,Unit 47,338.15
3360,0.6744,Unit 47,338.15
3696,0.7089,Unit 47,338.15
4032,0.6559,Unit 47,338.15
4368,0.6543,Unit 47,338.15
4704,0.6565,Unit 47,338.15
5040,0.6188,Unit 47,338.15
5376,0.6102,Unit 47,338.15
5712,0.5897,Unit 47,338.15
6048,0.5977,Unit 47,338.15
6384,0.5834,Unit 47,338.15
6720,0.5133,Unit 47,338.15
7056,0.5724,Unit 47,338.15
7392,0.5622,Unit 47,338.15
7728,0.522,Unit 47,338.15
8064,0.5357,Unit 47,338.15
8400,0.5013,Unit 47,338.15
8736,0.5185,Unit 47,338.15
9072,0.5052,Unit 47,338.15
9408,0.503,Unit 47,338.15
9744,0.4773,Unit 47,338.15
336,0.9608,Unit 48,338.15
672,0.9474,Unit 48,338.15
1008,0.9184,Unit 48,338.15
1344,0.9124,Unit 48,338.15
1680,0.9013,Unit 48,338.15
2016,0.891,Unit 48,338.15
2352,0.8973,Unit 48,338.15
2688,0.8818,Unit 48,338.15
3024,0.8768,Unit 48,338.15
3360,0.8697,Unit 48,338.15
3696,0.8519,Unit 48,338.15
4032,0.8492,Unit 48,338.15
4368,0.8359,Unit 48,338.15
4704,0.8682,Unit 48,338.15
5040,0.8278,Unit 48,338.15
5376,0.8459,Unit 48,338.15
5712,0.8097,Unit 48,338.15
6048,0.8299,Unit 48,338.15
6384,0.8271,Unit 48,338.15
6720,0.8066,Unit 48,338.15
7056,0.7816,Unit 48,338.15
7392,0.8116,Unit 48,338.15
7728,0.8116,Unit 48,338.15
8064,0.8196,Unit 48,338.15
8400,0.7968,Unit 48,338.15
8736,0.7922,Unit 48,338.15
9072,0.8114,Unit 48,338.15
9408,0.7717,Unit 48,338.15
9744,0.7727,Unit 48,338.15
336,0.9175,Unit 49,338.15
672,0.8975,Unit 49,338.15
1008,0.8475,Unit 49,338.15
1344,0.8739,Unit 49,338.15
1680,0.8037,Unit 49,338.15
2016,0.7845,Unit 49,338.15
2352,0.789,Unit 49,338.15
2688,0.7422,Unit 49,338.15
3024,0.7517,Unit 49,338.15
3360,0.7408,Unit 49,338.15
3696,0.7132,Unit 49,338.15
4032,0.7128,Unit 49,338.15
4368,0.7042,Unit 49,338.15
4704,0.6824,Unit 49,338.15
5040,0.6841,Unit 49,338.15
5376,0.662,Unit 49,338.15
5712,0.6333,Unit 49,338.15
6048,0.6477,Unit 49,338.15
6384,0.6164,Unit 49,338.15
6720,0.5768,Unit 49,338.15
7056,0.5949,Unit 49,338.15
7392,0.5992,Unit 49,338.15
7728,0.5928,Unit 49,338.15
8064,0.5832,Unit 49,338.15
8400,0.5616,Unit 49,338.15
8736,0.5553,Unit 49,338.15
9072,0.593,Unit 49,338.15
9408,0.5614,Unit 49,338.15
9744,0.5404,Unit 49,338.15
336,0.8887,Unit 50,338.15
672,0.8853,Unit 50,338.15
1008,0.8347,Unit 50,338.15
1344,0.7993,Unit 50,338.15
1680,0.7703,Unit 50,338.15
2016,0.7922,Unit 50,338.15
2352,0.7174,Unit 50,338.15
2688,0.7275,Unit 50,338.15
3024,0.7079,Unit 50,338.15
3360,0.696,Unit 50,338.15
3696,0.6881,Unit 50,338.15
4032,0.6821,Unit 50,338.15
4368,0.6639,Unit 50,338.15
4704,0.6648,Unit 50,338.15
5040,0.6463,Unit 50,338.15
5376,0.6624,Unit 50,338.15
5712,0.6235,Unit 50,338.15
6048,0.6106,Unit 50,338.15
6384,0.6037,Unit 50,338.15
6720,0.5941,Unit 50,338.15
7056,0.6069,Unit 50,338.15
7392,0.576,Unit 50,338.15
7728,0.5619,Unit 50,338.15
8064,0.6068,Unit 50,338.15
8400,0.5855,Unit 50,338.15
8736,0.5635,Unit 50,338.15
9072,0.5563,Unit 50,338.15
9408,0.5331,Unit 50,338.15
9744,0.542,Unit 50,338.15
336,0.9104,Unit 51,378.15
672,0.8549,Unit 51,378.15
