Time (hrs),LED Luminosity,Unit Number,Temperature (K)
1008,0.8196,Unit 51,378.15
1344,0.7986,Unit 51,378.15
1680,0.7731,Unit 51,378.15
2016,0.7795,Unit 51,378.15
2352,0.731,Unit 51,378.15
2688,0.7287,Unit 51,378.15
3024,0.6932,Unit 51,378.15
3360,0.7082,Unit 51,378.15
3696,0.6763,Unit 51,378.15
4032,0.6632,Unit 51,378.15
4368,0.6797,Unit 51,378.15
4704,0.6347,Unit 51,378.15
5040,0.6336,Unit 51,378.15
5376,0.614,Unit 51,378.15
5712,0.62,Unit 51,378.15
6048,0.6346,Unit 51,378.15
6384,0.6151,Unit 51,378.15
6720,0.6021,Unit 51,378.15
7056,0.5802,Unit 51,378.15
7392,0.5924,Unit 51,378.15
7728,0.5891,Unit 51,378.15
8064,0.5722,Unit 51,378.15
8400,0.5564,Unit 51,378.15
8736,0.5657,Unit 51,378.15
9072,0.556,Unit 51,378.15
9408,0.524,Unit 51,378.15
9744,0.5334,Unit 51,378.15
336,0.7385,Unit 52,378.15
672,0.6122,Unit 52,378.15
1008,0.597,Unit 52,378.15
1344,0.5503,Unit 52,378.15
1680,0.4778,Unit 52,378.15
2016,0.4806,Unit 52,378.15
2352,0.491,Unit 52,378.15
2688,0.4485,Unit 52,378.15
3024,0.4641,Unit 52,378.15
3360,0.4258,Unit 52,378.15
3696,0.4084,Unit 52,378.15
4032,0.3677,Unit 52,378.15
4368,0.3922,Unit 52,378.15
4704,0.4072,Unit 52,378.15
5040,0.3789,Unit 52,378.15
5376,0.3364,Unit 52,378.15
5712,0.3477,Unit 52,378.15
6048,0.3357,Unit 52,378.15
6384,0.3432,Unit 52,378.15
6720,0.3374,Unit 52,378.15
7056,0.3347,Unit 52,378.15
7392,0.3225,Unit 52,378.15
7728,0.3356,Unit 52,378.15
8064,0.311,Unit 52,378.15
8400,0.3154,Unit 52,378.15
8736,0.2915,Unit 52,378.15
9072,0.2927,Unit 52,378.15
9408,0.3112,Unit 52,378.15
9744,0.2871,Unit 52,378.15
336,0.7912,Unit 53,378.15
672,0.7257,Unit 53,378.15
1008,0.6741,Unit 53,378.15
1344,0.6302,Unit 53,378.15
1680,0.5822,Unit 53,378.15
2016,0.5711,Unit 53,378.15
2352,0.5672,Unit 53,378.15
2688,0.5304,Unit 53,378.15
3024,0.5268,Unit 53,378.15
3360,0.4963,Unit 53,378.15
3696,0.4973,Unit 53,378.15
4032,0.4905,Unit 53,378.15
4368,0.4474,Unit 53,378.15
4704,0.4795,Unit 53,378.15
5040,0.4628,Unit 53,378.15
5376,0.4293,Unit 53,378.15
5712,0.4203,Unit 53,378.15
6048,0.4108,Unit 53,378.15
6384,0.403,Unit 53,378.15
6720,0.393,Unit 53,378.15
7056,0.4031,Unit 53,378.15
7392,0.3917,Unit 53,378.15
7728,0.3822,Unit 53,378.15
8064,0.4315,Unit 53,378.15
8400,0.3922,Unit 53,378.15
8736,0.3857,Unit 53,378.15
9072,0.3552,Unit 53,378.15
9408,0.3718,Unit 53,378.15
9744,0.3703,Unit 53,378.15
336,0.8984,Unit 54,378.15
672,0.8616,Unit 54,378.15
1008,0.8123,Unit 54,378.15
1344,0.7894,Unit 54,378.15
1680,0.7334,Unit 54,378.15
2016,0.7381,Unit 54,378.15
2352,0.6725,Unit 54,378.15
2688,0.6534,Unit 54,378.15
3024,0.6556,Unit 54,378.15
3360,0.6115,Unit 54,378.15
3696,0.6223,Unit 54,378.15
4032,0.6195,Unit 54,378.15
4368,0.5819,Unit 54,378.15
4704,0.5852,Unit 54,378.15
5040,0.5654,Unit 54,378.15
5376,0.5556,Unit 54,378.15
5712,0.5018,Unit 54,378.15
6048,0.492,Unit 54,378.15
6384,0.5262,Unit 54,378.15
6720,0.5149,Unit 54,378.15
7056,0.5185,Unit 54,378.15
7392,0.4782,Unit 54,378.15
7728,0.4976,Unit 54,378.15
8064,0.4709,Unit 54,378.15
8400,0.4801,Unit 54,378.15
8736,0.4414,Unit 54,378.15
9072,0.4581,Unit 54,378.15
9408,0.4311,Unit 54,378.15
9744,0.4293,Unit 54,378.15
336,0.8754,Unit 55,378.15
672,0.8214,Unit 55,378.15
1008,0.7701,Unit 55,378.15
1344,0.719,Unit 55,378.15
1680,0.7423,Unit 55,378.15
2016,0.6691,Unit 55,378.15
2352,0.6556,Unit 55,378.15
2688,0.6257,Unit 55,378.15
3024,0.5835,Unit 55,378.15
3360,0.5487,Unit 55,378.15
3696,0.5885,Unit 55,378.15
4032,0.5781,Unit 55,378.15
4368,0.5627,Unit 55,378.15
4704,0.5561,Unit 55,378.15
5040,0.5375,Unit 55,378.15
5376,0.5069,Unit 55,378.15
5712,0.5163,Unit 55,378.15
6048,0.4821,Unit 55,378.15
6384,0.5158,Unit 55,378.15
6720,0.447,Unit 55,378.15
7056,0.482,Unit 55,378.15
7392,0.4765,Unit 55,378.15
7728,0.4237,Unit 55,378.15
8064,0.4504,Unit 55,378.15
8400,0.4359,Unit 55,378.15
8736,0.4444,Unit 55,378.15
9072,0.426,Unit 55,378.15
9408,0.4342,Unit 55,378.15
9744,0.4004,Unit 55,378.15
336,0.8949,Unit 56,378.15
672,0.8067,Unit 56,378.15
1008,0.7586,Unit 56,378.15
1344,0.7449,Unit 56,378.15
1680,0.6984,Unit 56,378.15
2016,0.671,Unit 56,378.15
2352,0.637,Unit 56,378.15
2688,0.6232,Unit 56,378.15
3024,0.6174,Unit 56,378.15
3360,0.6096,Unit 56,378.15
3696,0.5623,Unit 56,378.15
4032,0.5607,Unit 56,378.15
4368,0.5213,Unit 56,378.15
4704,0.5459,Unit 56,378.15
5040,0.536,Unit 56,378.15
5376,0.5091,Unit 56,378.15
5712,0.5155,Unit 56,378.15
6048,0.4854,Unit 56,378.15
6384,0.5105,Unit 56,378.15
6720,0.502,Unit 56,378.15
7056,0.4698,Unit 56,378.15
7392,0.454,Unit 56,378.15
7728,0.466,Unit 56,378.15
8064,0.4418,Unit 56,378.15
8400,0.4569,Unit 56,378.15
8736,0.4084,Unit 56,378.15
9072,0.4218,Unit 56,378.15
9408,0.4095,Unit 56,378.15
9744,0.4085,Unit 56,378.15
336,0.7856,Unit 57,378.15
672,0.7681,Unit 57,378.15
1008,0.7341,Unit 57,378.15
1344,0.6872,Unit 57,378.15
1680,0.6364,Unit 57,378.15
2016,0.646,Unit 57,378.15
2352,0.6013,Unit 57,378.15
2688,0.6038,Unit 57,378.15
3024,0.5715,Unit 57,378.15
3360,0.5487,Unit 57,378.15
3696,0.5495,Unit 57,378.15
4032,0.5263,Unit 57,378.15
4368,0.502,Unit 57,378.15
4704,0.4993,Unit 57,378.15
5040,0.5245,Unit 57,378.15
5376,0.5005,Unit 57,378.15
5712,0.4887,Unit 57,378.15
6048,0.4633,Unit 57,378.15
6384,0.49,Unit 57,378.15
6720,0.4351,Unit 57,378.15
7056,0.4728,Unit 57,378.15
7392,0.4357,Unit 57,378.15
7728,0.4616,Unit 57,378.15
8064,0.4546,Unit 57,378.15
8400,0.425,Unit 57,378.15
8736,0.4474,Unit 57,378.15
9072,0.4141,Unit 57,378.15
9408,0.4162,Unit 57,378.15
9744,0.4026,Unit 57,378.15
336,0.8267,Unit 58,378.15
672,0.7318,Unit 58,378.15
1008,0.6397,Unit 58,378.15
1344,0.5905,Unit 58,378.15
1680,0.5557,Unit 58,378.15
2016,0.5136,Unit 58,378.15
2352,0.4839,Unit 58,378.15
2688,0.4414,Unit 58,378.15
3024,0.4323,Unit 58,378.15
3360,0.411,Unit 58,378.15
3696,0.3864,Unit 58,378.15
4032,0.3693,Unit 58,378.15
4368,0.3582,Unit 58,378.15
4704,0.3386,Unit 58,378.15
5040,0.3479,Unit 58,378.15
5376,0.3208,Unit 58,378.15
5712,0.2886,Unit 58,378.15
6048,0.326,Unit 58,378.15
6384,0.2891,Unit 58,378.15
6720,0.2822,Unit 58,378.15
7056,0.2788,Unit 58,378.15
7392,0.2967,Unit 58,378.15
7728,0.2574,Unit 58,378.15
8064,0.2627,Unit 58,378.15
8400,0.2693,Unit 58,378.15
8736,0.2438,Unit 58,378.15
9072,0.2095,Unit 58,378.15
9408,0.2291,Unit 58,378.15
9744,0.2226,Unit 58,378.15
336,0.7953,Unit 59,378.15
672,0.7409,Unit 59,378.15
1008,0.6774,Unit 59,378.15
1344,0.6299,Unit 59,378.15
1680,0.6014,Unit 59,378.15
2016,0.5775,Unit 59,378.15
2352,0.5478,Unit 59,378.15
2688,0.4922,Unit 59,378.15
3024,0.5253,Unit 59,378.15
3360,0.49,Unit 59,378.15
3696,0.4826,Unit 59,378.15
4032,0.4571,Unit 59,378.15
4368,0.4824,Unit 59,378.15
4704,0.4643,Unit 59,378.15
5040,0.4651,Unit 59,378.15
5376,0.4156,Unit 59,378.15
5712,0.4138,Unit 59,378.15
6048,0.408,Unit 59,378.15
6384,0.4079,Unit 59,378.15
6720,0.3972,Unit 59,378.15
7056,0.3787,Unit 59,378.15
7392,0.3737,Unit 59,378.15
7728,0.3835,Unit 59,378.15
8064,0.3658,Unit 59,378.15
8400,0.3527,Unit 59,378.15
8736,0.3824,Unit 59,378.15
9072,0.3276,Unit 59,378.15
9408,0.3602,Unit 59,378.15
9744,0.3229,Unit 59,378.15
336,0.8985,Unit 60,378.15
672,0.8275,Unit 60,378.15
1008,0.7711,Unit 60,378.15
1344,0.7598,Unit 60,378.15
1680,0.7352,Unit 60,378.15
2016,0.6577,Unit 60,378.15
2352,0.6235,Unit 60,378.15
2688,0.6204,Unit 60,378.15
3024,0.6084,Unit 60,378.15
3360,0.5994,Unit 60,378.15
3696,0.5446,Unit 60,378.15
4032,0.5527,Unit 60,378.15
4368,0.5453,Unit 60,378.15
4704,0.5495,Unit 60,378.15
5040,0.4969,Unit 60,378.15
5376,0.4782,Unit 60,378.15
5712,0.4714,Unit 60,378.15
6048,0.4325,Unit 60,378.15
6384,0.4757,Unit 60,378.15
6720,0.4533,Unit 60,378.15
7056,0.4488,Unit 60,378.15
7392,0.4077,Unit 60,378.15
7728,0.432,Unit 60,378.15
8064,0.3936,Unit 60,378.15
8400,0.4121,Unit 60,378.15
8736,0.3674,Unit 60,378.15
9072,0.3698,Unit 60,378.15
9408,0.3765,Unit 60,378.15
9744,0.3588,Unit 60,378.15
336,0.8844,Unit 61,378.15
672,0.8511,Unit 61,378.15
1008,0.8251,Unit 61,378.15
1344,0.7538,Unit 61,378.15
1680,0.7633,Unit 61,378.15
2016,0.7779,Unit 61,378.15
2352,0.7187,Unit 61,378.15
2688,0.7078,Unit 61,378.15
3024,0.7034,Unit 61,378.15
3360,0.6899,Unit 61,378.15
3696,0.6303,Unit 61,378.15
4032,0.656,Unit 61,378.15
4368,0.6188,Unit 61,378.15
4704,0.6156,Unit 61,378.15
5040,0.6447,Unit 61,378.15
5376,0.6144,Unit 61,378.15
5712,0.6041,Unit 61,378.15
6048,0.6065,Unit 61,378.15
6384,0.5725,Unit 61,378.15
6720,0.6134,Unit 61,378.15
7056,0.5801,Unit 61,378.15
7392,0.5572,Unit 61,378.15
7728,0.559,Unit 61,378.15
8064,0.5532,Unit 61,378.15
8400,0.5488,Unit 61,378.15
8736,0.568,Unit 61,378.15
9072,0.5621,Unit 61,378.15
9408,0.5264,Unit 61,378.15
9744,0.5386,Unit 61,378.15
336,0.9382,Unit 62,378.15
672,0.8322,Unit 62,378.15
1008,0.8188,Unit 62,378.15
1344,0.7745,Unit 62,378.15
1680,0.7398,Unit 62,378.15
2016,0.7342,Unit 62,378.15
2352,0.6712,Unit 62,378.15
2688,0.6561,Unit 62,378.15
3024,0.6404,Unit 62,378.15
3360,0.6176,Unit 62,378.15
3696,0.6007,Unit 62,378.15
4032,0.5717,Unit 62,378.15
4368,0.5758,Unit 62,378.15
4704,0.5545,Unit 62,378.15
5040,0.5638,Unit 62,378.15
5376,0.5183,Unit 62,378.15
5712,0.4934,Unit 62,378.15
6048,0.4877,Unit 62,378.15
6384,0.4886,Unit 62,378.15
6720,0.4561,Unit 62,378.15
7056,0.5024,Unit 62,378.15
7392,0.4942,Unit 62,378.15
7728,0.4597,Unit 62,378.15
8064,0.4293,Unit 62,378.15
8400,0.4503,Unit 62,378.15
8736,0.395,Unit 62,378.15
9072,0.435,Unit 62,378.15
9408,0.4184,Unit 62,378.15
9744,0.3939,Unit 62,378.15
336,0.9029,Unit 63,378.15
672,0.8382,Unit 63,378.15
1008,0.8111,Unit 63,378.15
1344,0.8024,Unit 63,378.15
1680,0.7742,Unit 63,378.15
2016,0.7243,Unit 63,378.15
2352,0.7229,Unit 63,378.15
2688,0.6894,Unit 63,378.15
3024,0.6999,Unit 63,378.15
3360,0.7191,Unit 63,378.15
3696,0.6747,Unit 63,378.15
4032,0.674,Unit 63,378.15
4368,0.6492,Unit 63,378.15
4704,0.6182,Unit 63,378.15
5040,0.6199,Unit 63,378.15
5376,0.6146,Unit 63,378.15
5712,0.6164,Unit 63,378.15
6048,0.5877,Unit 63,378.15
6384,0.569,Unit 63,378.15
6720,0.6056,Unit 63,378.15
7056,0.5918,Unit 63,378.15
7392,0.5547,Unit 63,378.15
7728,0.5653,Unit 63,378.15
8064,0.5527,Unit 63,378.15
8400,0.5514,Unit 63,378.15
8736,0.5269,Unit 63,378.15
9072,0.5182,Unit 63,378.15
9408,0.5413,Unit 63,378.15
9744,0.5152,Unit 63,378.15
336,0.8442,Unit 64,378.15
672,0.717,Unit 64,378.15
1008,0.6734,Unit 64,378.15
1344,0.5946,Unit 64,378.15
1680,0.5535,Unit 64,378.15
2016,0.5023,Unit 64,378.15
2352,0.4847,Unit 64,378.15
2688,0.4741,Unit 64,378.15
3024,0.4335,Unit 64,378.15
3360,0.4073,Unit 64,378.15
3696,0.3957,Unit 64,378.15
4032,0.3927,Unit 64,378.15
4368,0.42,Unit 64,378.15
4704,0.3428,Unit 64,378.15
5040,0.3403,Unit 64,378.15
5376,0.3058,Unit 64,378.15
5712,0.3176,Unit 64,378.15
6048,0.3174,Unit 64,378.15
6384,0.3046,Unit 64,378.15
6720,0.2634,Unit 64,378.15
7056,0.28,Unit 64,378.15
7392,0.2683,Unit 64,378.15
7728,0.2873,Unit 64,378.15
8064,0.253,Unit 64,378.15
8400,0.2781,Unit 64,378.15
8736,0.2377,Unit 64,378.15
9072,0.2611,Unit 64,378.15
9408,0.2577,Unit 64,378.15
9744,0.2153,Unit 64,378.15
336,0.874,Unit 65,378.15
672,0.7895,Unit 65,378.15
1008,0.7407,Unit 65,378.15
1344,0.7036,Unit 65,378.15
1680,0.683,Unit 65,378.15
2016,0.62,Unit 65,378.15
2352,0.6149,Unit 65,378.15
2688,0.6079,Unit 65,378.15
3024,0.5681,Unit 65,378.15
3360,0.5767,Unit 65,378.15
3696,0.5587,Unit 65,378.15
4032,0.5304,Unit 65,378.15
4368,0.5439,Unit 65,378.15
4704,0.5154,Unit 65,378.15
5040,0.501,Unit 65,378.15
5376,0.5055,Unit 65,378.15
5712,0.4382,Unit 65,378.15
6048,0.4683,Unit 65,378.15
6384,0.4776,Unit 65,378.15
6720,0.4162,Unit 65,378.15
7056,0.4002,Unit 65,378.15
7392,0.4228,Unit 65,378.15
7728,0.4363,Unit 65,378.15
8064,0.4172,Unit 65,378.15
8400,0.4242,Unit 65,378.15
8736,0.4043,Unit 65,378.15
9072,0.4212,Unit 65,378.15
9408,0.3846,Unit 65,378.15
9744,0.4013,Unit 65,378.15
336,0.8505,Unit 66,378.15
672,0.794,Unit 66,378.15
1008,0.7928,Unit 66,378.15
1344,0.707,Unit 66,378.15
1680,0.6747,Unit 66,378.15
2016,0.6831,Unit 66,378.15
2352,0.6554,Unit 66,378.15
2688,0.6525,Unit 66,378.15
3024,0.5911,Unit 66,378.15
3360,0.5982,Unit 66,378.15
3696,0.5749,Unit 66,378.15
4032,0.5813,Unit 66,378.15
4368,0.5619,Unit 66,378.15
4704,0.57,Unit 66,378.15
5040,0.5378,Unit 66,378.15
5376,0.5314,Unit 66,378.15
5712,0.5085,Unit 66,378.15
6048,0.5025,Unit 66,378.15
6384,0.5067,Unit 66,378.15
6720,0.4704,Unit 66,378.15
7056,0.5011,Unit 66,378.15
7392,0.4698,Unit 66,378.15
7728,0.4795,Unit 66,378.15
8064,0.4626,Unit 66,378.15
8400,0.4836,Unit 66,378.15
8736,0.4392,Unit 66,378.15
9072,0.416,Unit 66,378.15
9408,0.4615,Unit 66,378.15
9744,0.442,Unit 66,378.15
336,0.9508,Unit 67,378.15
672,0.8582,Unit 67,378.15
1008,0.8583,Unit 67,378.15
1344,0.8001,Unit 67,378.15
1680,0.7899,Unit 67,378.15
2016,0.7506,Unit 67,378.15
2352,0.7327,Unit 67,378.15
2688,0.7074,Unit 67,378.15
3024,0.7094,Unit 67,378.15
3360,0.6947,Unit 67,378.15
3696,0.6458,Unit 67,378.15
4032,0.6448,Unit 67,378.15
4368,0.6419,Unit 67,378.15
4704,0.6594,Unit 67,378.15
5040,0.6088,Unit 67,378.15
5376,0.6449,Unit 67,378.15
5712,0.6055,Unit 67,378.15
6048,0.6176,Unit 67,378.15
6384,0.5903,Unit 67,378.15
6720,0.5559,Unit 67,378.15
7056,0.5917,Unit 67,378.15
7392,0.5753,Unit 67,378.15
7728,0.5581,Unit 67,378.15
8064,0.5782,Unit 67,378.15
8400,0.5449,Unit 67,378.15
8736,0.5638,Unit 67,378.15
9072,0.5179,Unit 67,378.15
9408,0.5373,Unit 67,378.15
9744,0.5134,Unit 67,378.15
336,0.8493,Unit 68,378.15
672,0.7966,Unit 68,378.15
1008,0.7428,Unit 68,378.15
1344,0.7163,Unit 68,378.15
1680,0.6666,Unit 68,378.15
2016,0.653,Unit 68,378.15
2352,0.5959,Unit 68,378.15
2688,0.5728,Unit 68,378.15
3024,0.5987,Unit 68,378.15
3360,0.5702,Unit 68,378.15
3696,0.5524,Unit 68,378.15
4032,0.52,Unit 68,378.15
4368,0.5435,Unit 68,378.15
4704,0.4803,Unit 68,378.15
5040,0.5002,Unit 68,378.15
5376,0.4812,Unit 68,378.15
5712,0.4715,Unit 68,378.15
6048,0.4848,Unit 68,378.15
6384,0.4692,Unit 68,378.15
6720,0.4525,Unit 68,378.15
7056,0.4542,Unit 68,378.15
7392,0.4382,Unit 68,378.15
7728,0.4297,Unit 68,378.15
8064,0.4396,Unit 68,378.15
8400,0.3982,Unit 68,378.15
8736,0.3894,Unit 68,378.15
9072,0.3884,Unit 68,378.15
9408,0.4057,Unit 68,378.15
9744,0.3495,Unit 68,378.15
336,0.6145,Unit 69,378.15
672,0.5373,Unit 69,378.15
1008,0.4958,Unit 69,378.15
1344,0.5025,Unit 69,378.15
1680,0.4421,Unit 69,378.15
2016,0.4341,Unit 69,378.15
2352,0.4132,Unit 69,378.15
2688,0.3794,Unit 69,378.15
3024,0.4095,Unit 69,378.15
3360,0.3849,Unit 69,378.15
3696,0.3545,Unit 69,378.15
4032,0.3589,Unit 69,378.15
4368,0.3539,Unit 69,378.15
4704,0.3331,Unit 69,378.15
5040,0.3392,Unit 69,378.15
5376,0.3491,Unit 69,378.15
5712,0.3564,Unit 69,378.15
6048,0.334,Unit 69,378.15
6384,0.3365,Unit 69,378.15
6720,0.3147,Unit 69,378.15
7056,0.3077,Unit 69,378.15
7392,0.3127,Unit 69,378.15
7728,0.3276,Unit 69,378.15
8064,0.3157,Unit 69,378.15
8400,0.3285,Unit 69,378.15
8736,0.2619,Unit 69,378.15
9072,0.2927,Unit 69,378.15
9408,0.276,Unit 69,378.15
9744,0.298,Unit 69,378.15
336,0.8559,Unit 70,378.15
672,0.7804,Unit 70,378.15
1008,0.7333,Unit 70,378.15
1344,0.6581,Unit 70,378.15
1680,0.6449,Unit 70,378.15
2016,0.5878,Unit 70,378.15
2352,0.5416,Unit 70,378.15
2688,0.5313,Unit 70,378.15
3024,0.528,Unit 70,378.15
3360,0.4927,Unit 70,378.15
3696,0.4449,Unit 70,378.15
4032,0.4608,Unit 70,378.15
4368,0.4597,Unit 70,378.15
4704,0.4121,Unit 70,378.15
5040,0.3538,Unit 70,378.15
5376,0.3984,Unit 70,378.15
5712,0.374,Unit 70,378.15
6048,0.3674,Unit 70,378.15
6384,0.3121,Unit 70,378.15
6720,0.3382,Unit 70,378.15
7056,0.302,Unit 70,378.15
7392,0.3156,Unit 70,378.15
7728,0.3136,Unit 70,378.15
8064,0.2816,Unit 70,378.15
8400,0.2829,Unit 70,378.15
8736,0.2807,Unit 70,378.15
9072,0.3013,Unit 70,378.15
9408,0.2791,Unit 70,378.15
9744,0.2387,Unit 70,378.15
336,0.9502,Unit 71,378.15
672,0.8723,Unit 71,378.15
1008,0.8175,Unit 71,378.15
1344,0.8097,Unit 71,378.15
1680,0.784,Unit 71,378.15
2016,0.7357,Unit 71,378.15
2352,0.7231,Unit 71,378.15
2688,0.6817,Unit 71,378.15
3024,0.6684,Unit 71,378.15
3360,0.6865,Unit 71,378.15
3696,0.651,Unit 71,378.15
4032,0.6115,Unit 71,378.15
4368,0.6169,Unit 71,378.15
4704,0.6138,Unit 71,378.15
5040,0.573,Unit 71,378.15
5376,0.5809,Unit 71,378.15
5712,0.5424,Unit 71,378.15
6048,0.5726,Unit 71,378.15
6384,0.5249,Unit 71,378.15
6720,0.5188,Unit 71,378.15
7056,0.5138,Unit 71,378.15
7392,0.5437,Unit 71,378.15
7728,0.4987,Unit 71,378.15
8064,0.4715,Unit 71,378.15
8400,0.4526,Unit 71,378.15
8736,0.465,Unit 71,378.15
9072,0.4424,Unit 71,378.15
9408,0.4448,Unit 71,378.15
9744,0.4156,Unit 71,378.15
336,0.8971,Unit 72,378.15
672,0.7984,Unit 72,378.15
1008,0.7122,Unit 72,378.15
1344,0.6745,Unit 72,378.15
1680,0.6723,Unit 72,378.15
2016,0.618,Unit 72,378.15
2352,0.5937,Unit 72,378.15
2688,0.5902,Unit 72,378.15
3024,0.5388,Unit 72,378.15
3360,0.5296,Unit 72,378.15
3696,0.4828,Unit 72,378.15
4032,0.4626,Unit 72,378.15
4368,0.4595,Unit 72,378.15
4704,0.4695,Unit 72,378.15
5040,0.4488,Unit 72,378.15
5376,0.4622,Unit 72,378.15
5712,0.4273,Unit 72,378.15
6048,0.4413,Unit 72,378.15
6384,0.4103,Unit 72,378.15
6720,0.4055,Unit 72,378.15
7056,0.4029,Unit 72,378.15
7392,0.3523,Unit 72,378.15
7728,0.3706,Unit 72,378.15
8064,0.3669,Unit 72,378.15
8400,0.3588,Unit 72,378.15
8736,0.3537,Unit 72,378.15
9072,0.3401,Unit 72,378.15
9408,0.3497,Unit 72,378.15
9744,0.3165,Unit 72,378.15
336,0.8144,Unit 73,378.15
672,0.7456,Unit 73,378.15
1008,0.6705,Unit 73,378.15
1344,0.6525,Unit 73,378.15
1680,0.5796,Unit 73,378.15
2016,0.5267,Unit 73,378.15
2352,0.4844,Unit 73,378.15
2688,0.4736,Unit 73,378.15
3024,0.4533,Unit 73,378.15
3360,0.4392,Unit 73,378.15
3696,0.4034,Unit 73,378.15
4032,0.3674,Unit 73,378.15
4368,0.3994,Unit 73,378.15
4704,0.3528,Unit 73,378.15
5040,0.3698,Unit 73,378.15
5376,0.3224,Unit 73,378.15
5712,0.3139,Unit 73,378.15
6048,0.3288,Unit 73,378.15
6384,0.2903,Unit 73,378.15
6720,0.2954,Unit 73,378.15
7056,0.3176,Unit 73,378.15
7392,0.2804,Unit 73,378.15
7728,0.2365,Unit 73,378.15
8064,0.2263,Unit 73,378.15
8400,0.2667,Unit 73,378.15
8736,0.2606,Unit 73,378.15
9072,0.2231,Unit 73,378.15
9408,0.2275,Unit 73,378.15
9744,0.267,Unit 73,378.15
336,0.8649,Unit 74,378.15
672,0.803,Unit 74,378.15
1008,0.789,Unit 74,378.15
1344,0.7529,Unit 74,378.15
1680,0.7178,Unit 74,378.15
2016,0.6906,Unit 74,378.15
2352,0.7052,Unit 74,378.15
2688,0.6907,Unit 74,378.15
3024,0.6452,Unit 74,378.15
3360,0.6377,Unit 74,378.15
3696,0.629,Unit 74,378.15
4032,0.6407,Unit 74,378.15
4368,0.6287,Unit 74,378.15
4704,0.596,Unit 74,378.15
5040,0.5852,Unit 74,378.15
5376,0.578,Unit 74,378.15
5712,0.5836,Unit 74,378.15
6048,0.5978,Unit 74,378.15
6384,0.5479,Unit 74,378.15
6720,0.5894,Unit 74,378.15
7056,0.5746,Unit 74,378.15
7392,0.5626,Unit 74,378.15
7728,0.5488,Unit 74,378.15
8064,0.5129,Unit 74,378.15
8400,0.5366,Unit 74,378.15
8736,0.5022,Unit 74,378.15
9072,0.4777,Unit 74,378.15
9408,0.5048,Unit 74,378.15
9744,0.5126,Unit 74,378.15
336,0.794,Unit 75,378.15
672,0.6921,Unit 75,378.15
1008,0.6009,Unit 75,378.15
1344,0.5858,Unit 75,378.15
1680,0.5901,Unit 75,378.15
2016,0.5289,Unit 75,378.15
2352,0.5178,Unit 75,378.15
2688,0.471,Unit 75,378.15
3024,0.4715,Unit 75,378.15
3360,0.4289,Unit 75,378.15
3696,0.3967,Unit 75,378.15
4032,0.4025,Unit 75,378.15
4368,0.3832,Unit 75,378.15
4704,0.3647,Unit 75,378.15
5040,0.3412,Unit 75,378.15
5376,0.337,Unit 75,378.15
5712,0.3329,Unit 75,378.15
6048,0.2989,Unit 75,378.15
6384,0.3251,Unit 75,378.15
6720,0.291,Unit 75,378.15
7056,0.3306,Unit 75,378.15
7392,0.2717,Unit 75,378.15
7728,0.2597,Unit 75,378.15
8064,0.2716,Unit 75,378.15
8400,0.2629,Unit 75,378.15
8736,0.2721,Unit 75,378.15
9072,0.2782,Unit 75,378.15
9408,0.2294,Unit 75,378.15
9744,0.2385,Unit 75,378.15
